ISIN;Name
HK0000069689;AIA GROUP LTD
NL0000235190;AIRBUS
US0378331005;APPLE INC.
NL0010273215;ASML HOLDING    EO -,09
DE000BASF111;BASF SE NA O.N.
US1491231015;CATERPILLAR INC.     DL 1
DE000DWS1007;DWS GROUP GMBH+CO.KGAA ON
US46120E6023;INTUITIVE SURGIC. DL-,001
US46625H1005;JPMorgan Chase & Co. Registered Shares DL 1
FR0000121014;LVMH               EO 0,3
US5949181045;MICROSOFT    DL-,00000625
US55354G1004;MSCI INC. A        DL-,01
US6311031081;NASDAQ INC.       DL -,01
DK0062498333;NOVO-NORDISK NAM.B DK-,20
US67066G1040;NVIDIA CORP.      DL-,001
CA82509L1076;Shopify Inc. Reg. Shares A (Sub Voting) oN
US8740391003;TAIWAN SEMICON.MANU.ADR/5
US8835561023;THERMO FISH.SCIENTIF.DL 1
IE00B8GKDB10;VA.FTSE A.W.H.D.Y.UETFDLD
US92826C8394;VISA INC. CL. A DL -,0001